Chapter-Verse,Sloka (Sanskrit),Sloka (English Translation),Meaning/Interpretation,Famous Quotes,Persons,Comparison/Relations
2:28,जातस्य हि ध्रुवो मृत्युर्ध्रुवं जन्म मृतस्य च। तस्मादपरिहार्येऽर्थे न त्वं शोचितुमर्हसि।।,"For one who is born, death is certain; and for one who has died, rebirth is inevitable. Therefore, you should not lament the inevitable.",Explains the law of birth and death.,"Death is not the opposite of life, but a part of it.",Haruki Murakami,Reinforces the natural cycle.
2:29,अव्यक्तादीनि भूतानि व्यक्तमध्यानि भारत। अव्यक्तनिधनान्येव तत्र का परिदेवना।।,"All beings are unmanifest before birth and after death, they are unmanifest again. Only in the interim do they manifest. Why then the grief?",Questions the logic of mourning.,Why should we grieve for what is inevitable?,Marcus Aurelius,Strengthens stoic thought.
2:30,आश्चर्यवत्पश्यति कश्चिदेनमाश्चर्यवद्वदति तथैव चान्यः। आश्चर्यवच्चैनमन्यः श,"Some see the soul as amazing, others speak of it as amazing, and some hear of it as amazing, yet none truly knows it.",Describes the soul's mystique.,The soul is a mystery that even wisdom cannot unravel.,Rumi,Praises the soul’s profundity.
2:31,स्वधर्ममपि चावेक्ष्य न विकम्पितुमर्हसि। धर्म्याद्धि युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य न विद्यते।।,"Considering your dharma, you should not waver. For a warrior, there is nothing more honorable than a righteous war.",Encourages fulfilling one’s duty.,"It is not what we do, but also what we do not do, for which we are accountable.",Moliere,Stresses duty and accountability.
2:32,यदृच्छया चोपपन्नं स्वर्गद्वारमपावृतम्। सुखिनः क्षत्रियाः पार्थ लभन्ते युद्धमीदृशम्।।,"Fortunate are the warriors who achieve such an opportunity for a righteous battle, which opens the gates of heaven.",Describes duty as a path to higher realms.,Fortune favors the brave.,Virgil,Reflects courage in duty.
2:33,अथ चेत्त्वमिमं धर्म्यं संग्रामं न करिष्यसि। ततः स्वधर्मं कीर्तिं च हित्वा पापमवाप्स्यसि।।,"But if you do not fight this righteous war, abandoning your duty and honor, you will incur sin.",Warns against abandoning duty.,Honor is the reward of virtue.,Cicero,Links duty to moral integrity.
2:34,अकीर्तिं चापि भूतानि कथयिष्यन्ति तेऽव्ययाम्। सम्भावितस्य चाकीर्तिर्मरणादतिरिच्यते।।,"People will speak unendingly of your disgrace, and for a person of honor, dishonor is worse than death.",Emphasizes reputation and honor.,Reputation is an idle and most false imposition.,Shakespeare,Draws attention to honor and disgrace.
2:35,भयाद्रणादुपरतं मंस्यन्ते त्वां महारथाः। येषां च त्वं बहुमतो भूत्वा यास्यसि लाघवम्।।,"The great warriors will think you withdrew from battle out of fear, and those who once respected you will now hold you in contempt.",Highlights the importance of courage.,"Courage is resistance to fear, mastery of fear—not absence of fear.",Mark Twain,Encourages bravery.
2:36,अवाच्यवादांश्च बहून्वदिष्यन्ति तवाहिताः। निन्दन्तस्तव सामर्थ्यं ततो दुःखतरं नु किम्।।,Your enemies will mock your strength and speak ill of you. What could be more painful than this?,Warns against the pain of dishonor.,Our enemies' opinion matters not; our own conscience does.,Marcus Aurelius,Reflects on inner strength.
2:37,हतो वा प्राप्स्यसि स्वर्गं जित्वा वा भोक्ष्यसे महीम्। तस्मादुत्तिष्ठ कौन्तेय युद्धाय कृतनिश्चयः।।,"If you die, you will attain heaven; if you win, you will enjoy the earth. Therefore, rise and fight with determination.",Urges decisive action.,Victory belongs to the most persevering.,Napoleon Bonaparte,Promotes unwavering resolve.
2:38,सुखदुःखे समे कृत्वा लाभालाभौ जयाजयौ। ततो युद्धाय युज्यस्व नैवं पापमवाप्स्यसि।।,"Be equanimous in pleasure and pain, gain and loss, victory and defeat. Engage in battle without incurring sin.",Stresses emotional balance.,Equanimity arises when we accept the way things are.,Jack Kornfield,Teaches balance and acceptance.
2:39,एषा तेऽभिहिता साङ्ख्ये बुद्धिर्योगे त्विमां श्रृणु। बुद्ध्यायुक्तो यया पार्थ कर्मबन्धं प्रहास्यसि।।,"I have explained to you the knowledge of Sankhya philosophy. Now listen to the knowledge of Yoga, by which you can break free from karma.",Introduces the concept of Karma Yoga.,"Yoga is the journey of the self, through the self, to the self.",The Bhagavad Gita,Explains liberation through action.
